steps	mean	median	std	min	max
750000	58.19	56.53	5.37	52.03	70.82
760000	79.89	73.95	19.35	51.93	105.88
770000	44.75	45.07	5.92	34.67	54.22
780000	77.56	88.66	23.18	35.09	103.75
790000	85.96	93.28	19.32	47.34	105.7
800000	51.12	47.41	10.2	40.53	68.23
810000	75.92	62.56	20.43	50.97	105.98
820000	55.81	55.37	5.18	45.77	64.96
830000	93.47	99.64	13.67	64.17	103.64
840000	50.7	52.18	6.01	37.27	60.67
850000	82.45	78.17	15.0	62.25	106.05
860000	56.27	58.71	10.98	24.09	64.56
870000	54.15	53.48	7.73	41.3	65.65
880000	54.95	51.94	16.49	40.46	98.21
890000	46.76	45.32	4.2	40.76	55.93
900000	60.19	56.09	11.47	49.1	80.77
